site_code,site_name,latitude,longitude,survey_date,depth,visibility,hour,reporting_name,species_total
BMKC1,Dixon Bay 2,48.85,-125.12,2023-05-29,6,2,07:40:00,Crassadoma gigantea,2
BMKC1,Dixon Bay 2,48.85,-125.12,2023-05-29,6,2,07:40:00,Dermasterias imbricata,3
BMKC1,Dixon Bay 2,48.85,-125.12,2023-05-29,6,2,07:40:00,Evasterias troschelii,10
BMKC1,Dixon Bay 2,48.85,-125.12,2023-05-29,6,2,07:40:00,Orthasterias koehleri,15
BMKC1,Dixon Bay 2,48.85,-125.12,2023-05-29,6,2,07:40:00,Patiria miniata,14
BMKC1,Dixon Bay 2,48.85,-125.12,2023-05-29,6,2,07:40:00,Pomaulax gibberosus,7
BMKC1,Dixon Bay 2,48.85,-125.12,2023-05-29,6,2,07:40:00,Pugettia producta,9
BMKC1,Dixon Bay 2,48.85,-125.12,2023-05-29,6,2,07:40:00,Pycnopodia helianthoides,12
BMKC2,Tzartus 116 R,48.9,-125.08,2023-06-10,3,3,10:05:00,Ceratostoma foliatum,1
BMKC2,Tzartus 116 R,48.9,-125.08,2023-06-10,3,3,10:05:00,Dermasterias imbricata,27
BMKC2,Tzartus 116 R,48.9,-125.08,2023-06-10,3,3,10:05:00,Evasterias troschelii,1
BMKC2,Tzartus 116 R,48.9,-125.08,2023-06-10,3,3,10:05:00,Haliotis kamtschatkana,1
BMKC2,Tzartus 116 R,48.9,-125.08,2023-06-10,3,3,10:05:00,Henricia spp.,2
BMKC2,Tzartus 116 R,48.9,-125.08,2023-06-10,3,3,10:05:00,Orthasterias koehleri,1
BMKC2,Tzartus 116 R,48.9,-125.08,2023-06-10,3,3,10:05:00,Pentidotea resecata,1
BMKC2,Tzartus 116 R,48.9,-125.08,2023-06-10,3,3,10:05:00,Pisaster ochraceus,2
BMKC2,Tzartus 116 R,48.9,-125.08,2023-06-10,3,3,10:05:00,Pomaulax gibberosus,152
BMKC2,Tzartus 116 R,48.9,-125.08,2023-06-10,3,3,10:05:00,Pteraster tesselatus,1
BMKC2,Tzartus 116 R,48.9,-125.08,2023-06-10,3,3,10:05:00,Pugettia producta,4
