"Year","Month","Effort.in.Licence.Days.Kept","Spot.Prawns.Kept","Longitude","Latitude"
2022,10,19.1309575849008,577.865111561866,-126.561887746513,50.8184086529589
2022,10,18.9898182209707,529.908670488655,-125.031437954189,50.1762530697611
2022,10,65.9273344140204,2391.56531808162,-124.710126384656,50.1489928596071
2022,10,21.9757781380068,464.381615161479,-124.693419340198,50.1472371931896
2022,10,18.9898182209707,854.69140401396,-125.145447290427,50.0707090344175
2022,10,21.9757781380068,1160.9540379037,-124.812144762942,49.9940036835516
2022,10,43.9515562760136,2461.22256035584,-124.798393250909,49.9865424273088
2022,10,21.9757781380068,1857.52646064592,-124.77123606617,49.9592653949749
2022,10,21.9757781380068,1857.52646064592,-124.743616985299,49.9499601582011
2022,10,21.9757781380068,928.763230322958,-124.77015293216,49.9412925264513
2022,10,21.9757781380068,928.763230322958,-124.771961250663,49.9322961089611
2022,10,21.9757781380068,928.763230322958,-124.744111303771,49.9319806403459
2022,10,15.0281834860233,264.97734724149,-124.858880722914,49.7983361336586
2022,10,123.911293686525,6280.61694547708,-124.074030837997,49.6348420134793
2022,10,32.3328432845048,5851.05391420174,-123.233661286804,49.5801094275585
2022,10,61.9556468432627,743.268277571251,-124.036393312082,49.5437039193348
2022,10,15.0281834860233,2760.18070043219,-124.783922881847,49.4826580367918
2022,10,32.3328432845048,780.140521893565,-123.472268708671,49.4601342503532
2022,10,64.6656865690096,5851.05391420174,-123.254096370987,49.4547134436951
2022,10,15.0281834860233,0,-124.673868361438,49.472370115125
2022,10,32.3328432845048,1560.28104378713,-123.324004846188,49.4384540545087
2022,10,32.3328432845048,780.140521893565,-123.462687255158,49.4237832233721
2022,10,129.331373138019,468.084313136139,-122.870961941704,49.4085463449264
2022,10,64.6656865690096,273.049182662748,-122.874313057339,49.3991150157492
2022,10,32.3328432845048,0,-123.285867793729,49.3834983544045
2022,10,96.9985298535144,12716.2905068651,-123.290594530508,49.365964593086
2022,10,64.6656865690096,2535.45669615409,-123.287977342476,49.3475103492583
2022,10,32.3328432845048,975.175652366956,-123.315981390353,49.3392038022952
2022,10,32.3328432845048,3900.70260946782,-123.302361543015,49.3368190377415
